Date,Price,Open,High,Low,Vol.,Change %
06-Aug-15,57.22,57.22,57.22,57.22,-,0.33%
05-Aug-15,57.03,57.03,57.03,57.03,0.06K,0.00%
04-Aug-15,57.03,57.03,57.03,57.03,0.03K,1.03%
03-Aug-15,56.45,56.45,56.45,56.45,0.01K,-0.19%
31-Jul-15,56.56,56.56,56.56,56.56,0.01K,-0.70%
30-Jul-15,56.96,56.96,56.96,56.96,0.08K,-0.09%
29-Jul-15,57.01,57.01,57.01,57.01,0.04K,0.26%
28-Jul-15,56.86,56.86,56.86,56.86,0.07K,0.02%
27-Jul-15,56.85,56.85,56.85,56.85,0.03K,0.00%
24-Jul-15,56.85,56.85,56.85,56.85,0.02K,0.44%
23-Jul-15,56.6,56.6,56.6,56.6,0.01K,-0.35%
22-Jul-15,56.8,56.8,56.8,56.8,0.04K,-0.79%
21-Jul-15,57.25,57.25,57.25,57.25,0.03K,0.44%
20-Jul-15,57,57,57,57,0.01K,0.18%
17-Jul-15,56.9,56.9,56.9,56.9,0.04K,-0.26%
16-Jul-15,57.05,57.05,57.05,57.05,0.01K,0.26%
15-Jul-15,56.9,56.9,56.9,56.9,0.10K,-0.18%
14-Jul-15,57,57,57,57,0.14K,0.26%
13-Jul-15,56.85,56.85,56.85,56.85,0.01K,-0.52%
10-Jul-15,57.15,57.15,57.15,57.15,0.01K,0.26%
09-Jul-15,57,57,57,57,0.07K,-0.35%
08-Jul-15,57.2,57.2,57.2,57.2,-,0.54%
07-Jul-15,56.89,56.89,56.89,56.89,0.07K,-1.15%
06-Jul-15,57.55,57.55,57.55,57.55,0.02K,-0.48%
03-Jul-15,57.83,57.83,57.83,57.83,0.03K,-0.45%
02-Jul-15,58.09,58.09,58.09,58.09,0.02K,-0.19%
01-Jul-15,58.2,58.2,58.2,58.2,0.08K,-0.60%
30-Jun-15,58.55,58.55,58.55,58.55,0.07K,0.60%
29-Jun-15,58.2,58.2,58.2,58.2,0.01K,0.00%
26-Jun-15,58.2,58.2,58.2,58.2,0.09K,-0.68%
25-Jun-15,58.6,58.6,58.6,58.6,0.14K,0.51%
24-Jun-15,58.3,58.3,58.3,58.3,0.03K,0.00%
23-Jun-15,58.3,58.3,58.3,58.3,0.09K,-0.26%
22-Jun-15,58.45,58.45,58.45,58.45,0.03K,1.42%
19-Jun-15,57.63,57.63,57.63,57.63,0.01K,-0.29%
18-Jun-15,57.8,57.8,57.8,57.8,0.03K,1.05%
17-Jun-15,57.2,57.2,57.2,57.2,0.05K,0.44%
16-Jun-15,56.95,56.95,56.95,56.95,0.06K,0.37%
15-Jun-15,56.74,56.74,56.74,56.74,-,0.16%
12-Jun-15,56.65,56.65,56.65,56.65,0.02K,0.80%
11-Jun-15,56.2,56.2,56.2,56.2,0.08K,1.26%
10-Jun-15,55.5,55.5,55.5,55.5,0.09K,0.36%
09-Jun-15,55.3,55.3,55.3,55.3,0.04K,-0.27%
08-Jun-15,55.45,55.45,55.45,55.45,0.01K,-0.45%
05-Jun-15,55.7,55.7,55.7,55.7,0.01K,0.27%
04-Jun-15,55.55,55.55,55.55,55.55,0.01K,0.18%
03-Jun-15,55.45,55.45,55.45,55.45,0.08K,-0.36%
02-Jun-15,55.65,55.65,55.65,55.65,0.04K,0.82%
01-Jun-15,55.2,55.2,55.2,55.2,0.05K,-0.36%
29-May-15,55.4,55.4,55.4,55.4,0.11K,1.35%
28-May-15,54.66,54.65,54.65,54.65,0.06K,-0.18%
27-May-15,54.76,54.76,54.76,54.76,0.09K,0.48%
26-May-15,54.5,54.5,54.5,54.5,0.04K,-0.18%
22-May-15,54.6,54.6,54.6,54.6,0.02K,0.13%
21-May-15,54.53,54.53,54.53,54.53,0.01K,0.35%
20-May-15,54.34,54.34,54.34,54.34,0.01K,-0.13%
19-May-15,54.41,54.41,54.41,54.41,0.04K,-1.25%
18-May-15,55.1,55.1,55.1,55.1,0.02K,-0.54%
15-May-15,55.4,55.4,55.4,55.4,0.04K,0.22%
14-May-15,55.28,55.28,55.28,55.28,0.01K,0.33%
13-May-15,55.1,55.1,55.1,55.1,0.06K,0.31%
12-May-15,54.93,54.93,54.93,54.93,0.10K,0.42%
11-May-15,54.7,54.7,54.7,54.7,0.02K,0.77%
08-May-15,54.28,54.28,54.28,54.28,0.05K,-0.49%
07-May-15,54.55,54.55,54.55,54.55,0.15K,-2.15%
06-May-15,55.75,55.75,55.75,55.75,0.02K,-0.27%
05-May-15,55.9,55.9,55.9,55.9,0.01K,0.54%
01-May-15,55.6,55.6,55.6,55.6,0.04K,-0.05%
30-Apr-15,55.63,55.63,55.63,55.63,0.04K,0.54%
29-Apr-15,55.33,55.33,55.33,55.33,0.08K,1.06%
28-Apr-15,54.75,54.75,54.75,54.75,0.06K,0.04%
27-Apr-15,54.73,54.73,54.73,54.73,0.03K,0.24%
24-Apr-15,54.6,54.6,54.6,54.6,0.05K,1.69%
23-Apr-15,53.69,53.69,53.69,53.69,0.01K,-0.02%
22-Apr-15,53.7,53.7,53.7,53.7,0.01K,-0.24%
21-Apr-15,53.83,53.83,53.83,53.83,0.04K,0.06%
20-Apr-15,53.8,53.8,53.8,53.8,0.03K,-0.74%
17-Apr-15,54.2,54.2,54.2,54.2,0.03K,-0.46%
16-Apr-15,54.45,54.45,54.45,54.45,0.06K,1.62%
15-Apr-15,53.58,53.58,53.58,53.58,0.03K,0.71%
14-Apr-15,53.2,53.2,53.2,53.2,0.05K,1.55%
13-Apr-15,52.39,52.39,52.39,52.39,0.04K,0.77%
10-Apr-15,51.99,51.99,51.99,51.99,0.01K,-0.40%
09-Apr-15,52.2,52.2,52.2,52.2,0.04K,1.26%
08-Apr-15,51.55,51.55,51.55,51.55,0.03K,-0.77%
07-Apr-15,51.95,51.95,51.95,51.95,0.01K,-1.03%
02-Apr-15,52.49,52.49,52.49,52.49,0.06K,-1.33%
01-Apr-15,53.2,53.2,53.2,53.2,0.03K,-1.30%
31-Mar-15,53.9,53.9,53.9,53.9,0.01K,-0.55%
30-Mar-15,54.2,54.2,54.2,54.2,-,-1.24%
27-Mar-15,54.88,54.88,54.88,54.88,0.01K,-0.13%
26-Mar-15,54.95,54.95,54.95,54.95,0.04K,1.38%
