Date,Price,Open,High,Low,Vol.,Change %
2022-11-25,7.024,7.332,7.4,6.8,35.51K,-2.13%
2022-11-24,7.177,7.307,7.404,7.1,,-1.79%
2022-11-23,7.308,6.9,7.604,6.887,59.05K,7.80%
2022-11-22,6.779,6.703,6.976,6.457,73.12K,0.04%
2022-11-21,6.776,6.333,6.837,6.145,107.82K,7.50%
2022-11-18,6.303,6.383,6.475,6.045,102.56K,-1.04%
2022-11-17,6.369,6.205,6.547,6.162,106.77K,2.73%
2022-11-16,6.2,6.138,6.25,5.727,112.92K,2.75%
2022-11-15,6.034,6.065,6.203,5.841,76.93K,1.70%
2022-11-14,5.933,6.119,6.416,5.89,110.91K,0.92%
2022-11-11,5.879,6.165,6.505,5.775,110.49K,-5.77%
2022-11-10,6.239,5.95,6.262,5.764,101.64K,6.38%
2022-11-09,5.865,6.19,6.35,5.715,134.65K,-4.45%
2022-11-08,6.138,6.687,6.823,6.062,146.54K,-11.61%
2022-11-07,6.944,6.98,7.221,6.566,171.26K,8.50%
2022-11-04,6.4,5.935,6.51,5.893,117.25K,7.11%
2022-11-03,5.975,6.202,6.218,5.874,98.53K,-4.67%
2022-11-02,6.268,5.829,6.303,5.787,104.85K,9.70%
2022-11-01,5.714,6.27,6.309,5.614,136.65K,-10.09%
2022-10-31,6.355,5.832,6.4,5.823,128.75K,11.81%
2022-10-28,5.684,5.848,5.89,5.547,84.71K,9.60%
2022-10-27,5.186,5.703,5.703,4.948,1.73K,-7.49%
2022-10-26,5.606,5.729,5.748,5.347,36.78K,-0.12%
2022-10-25,5.613,5.187,5.74,5.119,39.95K,7.96%
2022-10-24,5.199,4.97,5.259,4.75,69.67K,4.84%
2022-10-21,4.959,5.322,5.375,4.903,101.73K,-7.45%
2022-10-20,5.358,5.456,5.565,5.253,104.22K,-1.90%
2022-10-19,5.462,5.686,5.784,5.427,107.16K,-4.93%
2022-10-18,5.745,5.978,6.095,5.673,102.09K,-4.23%
2022-10-17,5.999,6.263,6.314,5.912,132.42K,-7.04%
2022-10-14,6.453,6.684,6.742,6.409,96.73K,-4.27%
2022-10-13,6.741,6.439,6.777,6.337,131.39K,4.76%
2022-10-12,6.435,6.601,6.803,6.399,112.38K,-2.44%
2022-10-11,6.596,6.512,6.671,6.362,106.89K,2.50%
2022-10-10,6.435,6.647,6.901,6.411,114.24K,-4.64%
2022-10-07,6.748,6.856,6.926,6.6,124.71K,-3.21%
2022-10-06,6.972,6.921,7.188,6.856,109.94K,0.61%
2022-10-05,6.93,6.83,7.022,6.627,80.87K,1.36%
2022-10-04,6.837,6.526,6.886,6.31,121.68K,5.67%
2022-10-03,6.47,6.8,6.829,6.305,104.48K,-4.37%
2022-09-30,6.766,6.895,7.044,6.705,97.37K,-1.57%
2022-09-29,6.874,7.029,7.139,6.599,85.72K,0.09%
2022-09-28,6.868,6.666,6.901,6.456,1.87K,1.60%
2022-09-27,6.76,7.055,7.24,6.74,130.92K,-3.62%
2022-09-26,7.014,7.017,7.126,6.692,81.08K,0.31%
2022-09-23,6.992,7.274,7.374,6.867,123.60K,-2.79%
2022-09-22,7.193,7.8,7.825,7.168,94.31K,-8.10%
2022-09-21,7.827,7.792,8.179,7.609,60.25K,0.71%
2022-09-20,7.772,7.929,8.037,7.703,42.91K,0.26%
2022-09-19,7.752,7.737,7.923,7.404,87.55K,-0.15%
2022-09-16,7.764,8.298,8.319,7.717,96.57K,-6.73%
2022-09-15,8.324,9.073,9.117,8.204,127.21K,-8.67%
2022-09-14,9.114,8.391,9.238,8.325,137.21K,10.02%
2022-09-13,8.284,8.381,8.456,8.155,108.83K,0.42%
2022-09-12,8.249,8.026,8.406,7.855,106.17K,3.16%
2022-09-09,7.996,7.975,8.205,7.888,90.50K,0.53%
2022-09-08,7.954,7.883,8.057,7.774,,1.43%
2022-09-07,7.842,8.039,8.299,7.751,127.19K,-3.72%
2022-09-06,8.145,9.028,9.126,7.823,149.36K,-6.53%
2022-09-05,8.714,8.98,8.995,8.71,,-2.95%
2022-09-04,8.979,9.086,9.096,8.946,,2.20%
2022-09-02,8.786,9.19,9.24,8.619,103.17K,-5.14%
2022-09-01,9.262,9.133,9.394,9.01,94.24K,1.48%
2022-08-31,9.127,9.082,9.284,8.814,86.29K,0.94%
2022-08-30,9.042,9.262,9.3,8.865,76.60K,-3.33%
2022-08-29,9.353,9.67,9.682,9.034,1.20K,0.61%
2022-08-26,9.296,9.372,9.668,9.186,33.98K,-0.84%
2022-08-25,9.375,9.239,9.419,9.175,25.83K,0.81%
2022-08-24,9.3,9.196,9.408,9.063,72.19K,1.58%
2022-08-23,9.155,9.78,9.987,9.021,86.53K,-5.10%
2022-08-22,9.647,9.159,9.95,9.143,60.48K,3.33%
2022-08-19,9.336,9.201,9.395,8.87,69.81K,1.61%
2022-08-18,9.188,9.166,9.663,8.913,112.10K,-0.61%
2022-08-17,9.244,9.362,9.677,9.121,88.68K,-0.91%
2022-08-16,9.329,8.809,9.411,8.785,104.09K,6.89%
2022-08-15,8.728,8.679,8.936,8.403,80.22K,-0.46%
2022-08-12,8.768,8.717,8.919,8.516,68.13K,-1.19%
2022-08-11,8.874,8.222,8.994,8.178,141.75K,8.19%
2022-08-10,8.202,7.858,8.267,7.705,111.81K,4.71%
2022-08-09,7.833,7.666,7.889,7.623,88.51K,3.22%
2022-08-08,7.589,7.876,7.917,7.532,117.79K,-5.89%
2022-08-05,8.064,8.151,8.248,7.898,111.70K,-0.71%
2022-08-04,8.122,8.281,8.45,7.825,102.54K,-1.74%
2022-08-03,8.266,7.671,8.48,7.55,134.21K,7.27%
2022-08-02,7.706,8.228,8.233,7.625,106.08K,-6.97%
2022-08-01,8.283,7.91,8.298,7.753,104.02K,0.66%
2022-07-29,8.229,8.155,8.388,8.01,77.77K,1.17%
2022-07-28,8.134,8.58,8.845,8.103,89.24K,-4.91%
2022-07-27,8.554,8.701,8.99,8.345,105.22K,-3.07%
2022-07-26,8.825,8.667,9.419,8.568,146.56K,2.96%
2022-07-25,8.571,8.273,8.704,8.202,79.05K,4.59%
2022-07-22,8.195,7.78,8.293,7.652,86.58K,4.86%
2022-07-21,7.815,7.769,8.045,7.485,84.55K,-1.06%
2022-07-20,7.899,7.2,7.925,7.057,75.27K,10.48%
2022-07-19,7.15,7.329,7.453,7.017,58.01K,-3.14%
2022-07-18,7.382,7.021,7.46,6.987,52.89K,6.58%
2022-07-15,6.926,6.584,7.047,6.351,49.32K,6.37%
2022-07-14,6.511,6.544,6.806,6.461,69.08K,-1.18%
2022-07-13,6.589,6.125,6.683,6.058,67.36K,9.43%
2022-07-12,6.021,6.395,6.647,5.895,73.23K,-4.72%
2022-07-11,6.319,6.314,6.59,6.16,70.94K,4.72%
2022-07-08,6.034,6.188,6.305,6.012,,-4.18%
2022-07-07,6.297,5.539,6.381,5.488,127.67K,14.28%
2022-07-06,5.51,5.46,5.737,5.38,73.51K,-0.24%
2022-07-05,5.523,5.712,5.907,5.325,110.17K,-5.64%
2022-07-04,5.853,5.712,5.905,5.606,,2.52%
2022-07-03,5.709,5.701,5.734,5.678,,-0.37%
2022-07-01,5.73,5.701,5.95,5.59,106.97K,5.64%
2022-06-30,5.424,6.428,6.602,5.357,182.58K,-16.53%
2022-06-29,6.498,6.632,6.833,6.405,82.21K,-0.81%
2022-06-28,6.551,6.449,6.765,6.386,2.46K,0.77%
2022-06-27,6.501,6.126,6.538,6.01,33.10K,4.52%
2022-06-24,6.22,6.228,6.337,6.021,26.57K,-0.30%
2022-06-23,6.239,6.829,6.84,6.175,78.03K,-9.03%
2022-06-22,6.858,6.844,6.93,6.575,92.47K,0.73%
2022-06-21,6.808,6.8,6.976,6.554,120.01K,1.42%
2022-06-20,6.713,6.706,6.84,6.635,,0.16%
2022-06-19,6.702,6.752,6.758,6.659,,-3.49%
2022-06-17,6.944,7.454,7.588,6.881,103.76K,-6.97%
2022-06-16,7.464,7.54,8.027,7.33,137.43K,0.59%
2022-06-15,7.42,7.269,7.698,7.201,123.59K,3.21%
2022-06-14,7.189,8.686,8.889,7.008,273.72K,-16.49%
2022-06-13,8.609,8.92,8.95,8.382,167.56K,-2.72%
2022-06-10,8.85,8.997,9.149,8.622,134.61K,-1.26%
2022-06-09,8.963,8.629,9.036,8.016,244.48K,3.03%
2022-06-08,8.699,9.335,9.664,8.427,250.30K,-6.39%
2022-06-07,9.293,9.359,9.544,9.2,140.03K,-0.31%
2022-06-06,9.322,8.75,9.4,8.732,129.10K,9.37%
2022-06-03,8.523,8.412,8.693,8.267,75.23K,0.45%
2022-06-02,8.485,8.783,9.057,8.377,119.01K,-2.43%
2022-06-01,8.696,8.271,8.791,8.146,111.96K,6.76%
2022-05-31,8.145,8.874,8.916,8.118,125.48K,-6.23%
2022-05-30,8.686,8.819,8.908,8.598,,-1.46%
2022-05-29,8.815,8.829,8.841,8.701,,1.01%
2022-05-27,8.727,8.811,8.895,8.285,107.09K,-2.03%
2022-05-26,8.908,8.984,9.401,8.785,1.47K,-0.70%
2022-05-25,8.971,8.831,9.399,8.765,37.39K,1.99%
2022-05-24,8.796,8.727,8.93,8.605,31.66K,0.59%
2022-05-23,8.744,8.079,8.822,7.851,65.55K,8.18%
2022-05-20,8.083,8.112,8.189,7.837,85.46K,-2.71%
2022-05-19,8.308,8.24,8.5,7.905,90.58K,-0.72%
2022-05-18,8.368,8.318,8.548,8.16,80.72K,0.77%
2022-05-17,8.304,8.016,8.372,8.015,76.67K,4.37%
2022-05-16,7.956,7.7,8.183,7.663,93.52K,3.82%
2022-05-13,7.663,7.673,7.919,7.515,85.04K,-0.98%
2022-05-12,7.739,7.637,7.79,7.255,107.06K,1.30%
2022-05-11,7.64,7.312,7.721,7.296,120.93K,3.45%
2022-05-10,7.385,7.03,7.463,6.43,185.46K,5.11%
2022-05-09,7.026,7.843,8.287,6.962,202.62K,-12.64%
2022-05-06,8.043,8.843,8.996,7.957,168.30K,-8.43%
2022-05-05,8.783,8.355,8.913,8.117,160.16K,4.37%
2022-05-04,8.415,7.815,8.474,7.729,132.32K,5.80%
2022-05-03,7.954,7.54,8.169,7.539,153.34K,6.41%
2022-05-02,7.475,7.412,7.617,7.219,110.92K,3.19%
2022-04-29,7.244,6.939,7.335,6.805,109.24K,5.17%
2022-04-28,6.888,7.395,7.422,6.879,139.57K,-6.15%
2022-04-27,7.339,7.009,7.524,6.956,,7.14%
2022-04-26,6.85,6.836,7.05,6.662,41.41K,2.71%
2022-04-25,6.669,6.414,6.966,6.345,32.52K,2.07%
2022-04-22,6.534,6.938,7.08,6.438,80.60K,-6.08%
2022-04-21,6.957,6.825,7.146,6.703,145.26K,0.29%
2022-04-20,6.937,7.253,7.41,6.791,157.96K,-3.33%
2022-04-19,7.176,7.776,7.939,6.954,237.00K,-8.24%
2022-04-18,7.82,7.367,8.065,7.365,191.08K,7.12%
