Date,Price,Open,High,Low,Vol.,Change %
10-Sep-14,98.04,99.35,99.47,97.6,203.28K,-1.13%
09-Sep-14,99.16,100.2,100.62,99.03,172.50K,-1.04%
08-Sep-14,100.2,100.8,101,99.36,197.61K,-0.61%
05-Sep-14,100.82,101.87,102.44,100.35,202.14K,-0.99%
04-Sep-14,101.83,102.41,102.95,101.7,218.44K,-0.91%
03-Sep-14,102.77,100.4,103.13,100.4,233.64K,2.42%
02-Sep-14,100.34,102.64,102.86,100.17,243.85K,-2.38%
01-Sep-14,102.79,102.95,103.3,102.56,73.33K,-0.39%
29-Aug-14,103.19,102.51,103.3,102.49,169.33K,0.71%
28-Aug-14,102.46,102.54,103.2,102.25,184.78K,-0.25%
27-Aug-14,102.72,102.42,103.07,102.05,146.23K,0.21%
26-Aug-14,102.5,102.71,103.4,102.35,149.83K,-0.15%
25-Aug-14,102.65,102.1,102.82,101.65,82.94K,0.35%
22-Aug-14,102.29,102.67,102.83,102,132.51K,-0.33%
21-Aug-14,102.63,102.14,102.79,101.21,179.61K,0.34%
20-Aug-14,102.28,101.5,102.37,101.44,166.19K,0.71%
19-Aug-14,101.56,101.62,102.07,101.07,177.10K,-0.04%
18-Aug-14,101.6,103.21,103.3,101.11,181.10K,-1.86%
15-Aug-14,103.53,102.05,103.76,102.05,199.63K,1.49%
14-Aug-14,102.01,104.06,104.33,101.92,18.57K,-2.18%
13-Aug-14,104.28,102.84,104.35,102.37,99.10K,1.22%
12-Aug-14,103.02,104.5,104.61,102.65,139.91K,-1.59%
11-Aug-14,104.68,105,105.43,104.35,143.61K,-0.32%
08-Aug-14,105.02,105.67,106.85,104.67,203.74K,-0.40%
07-Aug-14,105.44,104.64,105.92,104.16,189.82K,0.81%
06-Aug-14,104.59,104.88,105.44,104.54,204.92K,-0.02%
05-Aug-14,104.61,105.5,105.65,104.07,209.18K,-0.76%
04-Aug-14,105.41,104.82,105.71,104.52,207.79K,0.54%
01-Aug-14,104.84,105.6,106.12,104.39,216.36K,-1.11%
31-Jul-14,106.02,106.06,106.59,105.41,234.55K,-0.46%
30-Jul-14,106.51,107.5,107.86,105.84,218.39K,-1.12%
29-Jul-14,107.72,107.46,108.05,107.13,176.64K,0.14%
28-Jul-14,107.57,108.3,108.38,107.01,139.52K,-0.76%
25-Jul-14,108.39,107.2,108.46,106.73,253.17K,1.23%
24-Jul-14,107.07,108.15,108.21,106.83,179.57K,-0.89%
23-Jul-14,108.03,106.87,108.25,106.87,207.15K,0.65%
22-Jul-14,107.33,107.8,108.4,106.83,183.10K,-0.33%
21-Jul-14,107.68,107.15,107.87,106.79,211.70K,0.41%
18-Jul-14,107.24,108.5,108.62,106.94,210.88K,-0.60%
17-Jul-14,107.89,107.13,108.6,106.8,296.51K,1.93%
16-Jul-14,105.85,105.9,106.58,105.72,11.52K,-0.16%
15-Jul-14,106.02,106.81,106.9,104.39,63.86K,-0.90%
14-Jul-14,106.98,106.42,107.5,106.21,99.20K,0.30%
11-Jul-14,106.66,108.58,108.74,106.27,171.04K,-1.85%
10-Jul-14,108.67,108.15,108.88,107.76,152.47K,0.36%
09-Jul-14,108.28,108.97,109,108.12,173.18K,-0.61%
08-Jul-14,108.94,110,110.16,108.69,232.73K,-1.18%
07-Jul-14,110.24,110.65,110.92,109.88,152.51K,-0.36%
04-Jul-14,110.64,111.05,111.29,110.56,71.85K,-0.32%
03-Jul-14,111,111,111.17,110.53,218.98K,-0.22%
02-Jul-14,111.24,112.19,112.42,110.92,269.76K,-0.94%
01-Jul-14,112.29,112.5,112.83,111.85,229.19K,-0.06%
30-Jun-14,112.36,113.3,113.3,112.16,221.84K,-0.83%
27-Jun-14,113.3,113.07,113.71,112.9,135.71K,0.08%
26-Jun-14,113.21,114.24,114.29,113,180.86K,-0.69%
25-Jun-14,114,114.31,114.65,113.23,211.91K,-0.40%
24-Jun-14,114.46,113.9,114.83,113.55,230.49K,0.30%
23-Jun-14,114.12,114.99,115.66,113.86,220.72K,-0.60%
20-Jun-14,114.81,114.92,115.11,114.43,198.84K,-0.22%
19-Jun-14,115.06,114.22,115.71,114.15,250.24K,0.70%
18-Jun-14,114.26,113.46,114.54,113.05,240.75K,0.71%
17-Jun-14,113.45,112.97,113.8,112.16,240.52K,0.45%
16-Jun-14,112.94,112.73,113.28,112.33,175.90K,-0.41%
13-Jun-14,113.41,113.75,114.69,112.75,16.05K,0.35%
12-Jun-14,113.02,110.09,113.34,110,133.07K,2.79%
11-Jun-14,109.95,109.61,110.25,109.44,131.57K,0.39%
10-Jun-14,109.52,109.95,110.32,109.1,214.92K,-0.43%
09-Jun-14,109.99,108.68,110.16,108.55,189.21K,1.27%
06-Jun-14,108.61,108.85,109.31,108.46,155.00K,-0.17%
05-Jun-14,108.79,108.13,108.96,107.77,193.33K,0.36%
04-Jun-14,108.4,108.89,109.5,108.07,211.09K,-0.39%
03-Jun-14,108.82,108.8,108.98,108.32,177.67K,-0.01%
02-Jun-14,108.83,109.7,109.87,108.62,194.25K,-0.53%
30-May-14,109.41,110.02,110.13,109.22,175.05K,-0.51%
29-May-14,109.97,109.89,110.46,109.72,174.68K,0.15%
28-May-14,109.81,110.22,110.4,109.41,175.31K,-0.19%
27-May-14,110.02,110.35,110.8,109.71,173.41K,-0.27%
26-May-14,110.32,110.4,110.55,109.75,29.31K,-0.20%
23-May-14,110.54,110.38,110.7,110.25,143.66K,0.16%
22-May-14,110.36,110.49,111.04,110.17,200.09K,-0.17%
21-May-14,110.55,109.76,110.73,109.7,220.00K,0.78%
20-May-14,109.69,109.33,110,109.1,172.79K,0.29%
19-May-14,109.37,109.82,110.33,109.3,171.71K,-0.35%
16-May-14,109.75,108.96,110.05,108.88,229.93K,-0.62%
15-May-14,110.44,110.21,110.6,109.75,20.37K,0.23%
14-May-14,110.19,109.39,110.41,109.32,115.26K,0.87%
13-May-14,109.24,108.37,109.46,108.05,130.64K,0.77%
12-May-14,108.41,107.94,108.77,107.94,145.65K,0.48%
09-May-14,107.89,108.08,109.02,107.64,179.23K,-0.14%
08-May-14,108.04,108.07,108.15,107.38,163.88K,-0.08%
07-May-14,108.13,107.17,108.25,106.96,217.14K,1.00%
06-May-14,107.06,107.53,108.21,106.97,194.54K,-0.61%
05-May-14,107.72,108.92,108.92,107.05,139.53K,-0.80%
02-May-14,108.59,107.72,108.99,107.6,215.15K,0.77%
01-May-14,107.76,108.08,108.12,106.85,186.88K,-0.29%
30-Apr-14,108.07,108.8,108.8,107.55,213.56K,-0.84%
29-Apr-14,108.98,108.13,109.37,108,206.50K,0.80%
28-Apr-14,108.12,109.5,110.2,107.86,246.47K,-1.33%
25-Apr-14,109.58,110.33,110.63,109.25,216.21K,-0.68%
24-Apr-14,110.33,109.22,110.65,109.07,215.43K,1.12%
23-Apr-14,109.11,109.5,109.54,108.6,181.74K,-0.15%
22-Apr-14,109.27,109.94,109.99,108.53,201.11K,-0.62%
21-Apr-14,109.95,109.76,110.05,108.89,71.87K,0.38%
17-Apr-14,109.53,109.6,110.19,109.08,163.99K,-0.06%
16-Apr-14,109.6,109.43,110.36,109,229.36K,0.79%
15-Apr-14,108.74,108.92,109.11,108.27,19.55K,-0.30%
14-Apr-14,109.07,107.42,109.12,107.26,95.83K,1.62%
11-Apr-14,107.33,107.35,107.87,106.98,105.40K,-0.12%
10-Apr-14,107.46,107.9,107.92,107.26,124.82K,-0.48%
09-Apr-14,107.98,107.5,108.14,107.12,144.72K,0.29%
08-Apr-14,107.67,105.97,107.85,105.78,193.36K,1.75%
07-Apr-14,105.82,106.35,106.63,105.13,215.20K,-0.84%
04-Apr-14,106.72,106.17,107.04,106.1,184.07K,0.54%
03-Apr-14,106.15,104.59,106.32,104.45,220.54K,1.30%
02-Apr-14,104.79,105.32,105.85,103.95,271.60K,-0.79%
01-Apr-14,105.62,107.66,107.8,105.1,195.03K,-1.99%
31-Mar-14,107.76,108,108.33,107.05,145.62K,-0.29%
28-Mar-14,108.07,107.73,108.39,107.62,140.35K,0.22%
27-Mar-14,107.83,107,107.99,106.77,184.83K,0.75%
26-Mar-14,107.03,106.97,107.35,106.48,166.38K,0.04%
25-Mar-14,106.99,106.59,107.48,106.44,167.09K,0.17%
24-Mar-14,106.81,107.01,107.5,106.45,142.79K,-0.10%
21-Mar-14,106.92,106.22,107.77,106.01,167.80K,0.44%
20-Mar-14,106.45,105.9,106.75,105.41,205.21K,0.57%
19-Mar-14,105.85,106.6,106.87,105.71,188.48K,-0.88%
18-Mar-14,106.79,106.4,106.85,105.85,170.58K,0.52%
17-Mar-14,106.24,108.55,108.6,106.16,166.23K,-2.15%
14-Mar-14,108.57,107.25,108.69,107.24,12.88K,1.10%
13-Mar-14,107.39,108.26,108.51,106.98,86.26K,-0.58%
12-Mar-14,108.02,108.41,108.55,107.61,159.23K,-0.49%
11-Mar-14,108.55,107.88,108.7,107.83,146.85K,0.43%
10-Mar-14,108.08,108.73,108.85,107.75,149.34K,-0.84%
07-Mar-14,109,108.3,109.09,107.82,172.05K,0.83%
06-Mar-14,108.1,107.66,108.54,107.37,228.72K,0.32%
05-Mar-14,107.76,109.17,109.36,107.55,220.18K,-1.41%
04-Mar-14,109.3,111.16,111.32,109,218.50K,-1.71%
03-Mar-14,111.2,109.44,112.39,109.26,291.31K,1.95%
28-Feb-14,109.07,108.85,109.34,108.4,189.56K,0.10%
27-Feb-14,108.96,109.41,109.45,108.65,192.91K,-0.51%
26-Feb-14,109.52,109.56,109.97,109.2,186.71K,0.01%
25-Feb-14,109.51,110.64,110.64,109.42,198.16K,-1.02%
24-Feb-14,110.64,109.65,110.77,109.5,202.52K,0.72%
21-Feb-14,109.85,110.5,110.5,109.35,154.90K,-0.41%
20-Feb-14,110.3,110.39,110.49,109.58,151.21K,-0.15%
19-Feb-14,110.47,110.55,110.82,110.02,163.34K,0.01%
18-Feb-14,110.46,109.07,110.7,108.84,150.35K,1.17%
17-Feb-14,109.18,109.13,109.4,108.64,56.87K,0.09%
14-Feb-14,109.08,108.58,109.25,107.85,146.75K,0.32%
13-Feb-14,108.73,108.68,108.84,108.09,18.08K,-0.06%
12-Feb-14,108.79,108.78,109.5,108.47,105.89K,0.10%
11-Feb-14,108.68,108.52,109.24,108.47,137.26K,0.05%
