Date,Price,Open,High,Low,Vol.,Change %
24-Jan-18,23.15,23.15,23.15,23.15,-,0.00%
23-Jan-18,23.15,23.15,23.15,23.15,-,0.00%
22-Jan-18,23.15,24.7,24.7,24.7,-,-1.07%
19-Jan-18,23.4,23.4,23.4,23.4,-,0.00%
18-Jan-18,23.4,23.4,23.4,23.4,0.30K,-0.43%
17-Jan-18,23.5,23.5,23.5,23.5,-,-1.05%
16-Jan-18,23.75,23.75,23.75,23.75,-,0.00%
12-Jan-18,23.75,24.7,24.7,24.7,-,-0.63%
11-Jan-18,23.9,24.7,24.7,24.7,-,-0.42%
10-Jan-18,24,24,24,24,-,0.00%
09-Jan-18,24,24,24,24,-,0.00%
08-Jan-18,24,24,24,24,-,0.00%
05-Jan-18,24,24,24,24,-,0.00%
04-Jan-18,24,24,24,24,-,0.42%
03-Jan-18,23.9,23.9,23.9,23.9,-,0.00%
02-Jan-18,23.9,23.9,23.9,23.9,-,0.00%
29-Dec-17,23.9,23.9,23.9,23.9,-,-0.42%
28-Dec-17,24,24.7,24.7,24.7,-,0.00%
27-Dec-17,24,24.7,24.7,24.7,-,0.00%
26-Dec-17,24,24,24,24,-,0.00%
22-Dec-17,24,24,24,24,-,0.00%
21-Dec-17,24,24,24,24,-,0.00%
20-Dec-17,24,24.8,24.8,24.8,-,0.00%
19-Dec-17,24,24.8,24.8,24.8,-,-1.64%
18-Dec-17,24.4,24.4,24.4,24.4,-,0.00%
15-Dec-17,24.4,24.4,24.4,24.4,-,0.00%
14-Dec-17,24.4,24.4,24.4,24.4,0.18K,-1.01%
13-Dec-17,24.65,24.8,24.8,24.8,-,-1.40%
12-Dec-17,25,25,25,25,-,0.00%
11-Dec-17,25,25,25,25,-,0.00%
08-Dec-17,25,24.8,24.8,24.8,-,0.00%
07-Dec-17,25,25,25,25,-,-1.96%
06-Dec-17,25.5,24.8,24.8,24.8,-,0.39%
05-Dec-17,25.4,24.8,24.8,24.8,-,-3.79%
04-Dec-17,26.4,26.4,26.4,26.4,-,14.78%
01-Dec-17,23,23,23,23,-,-1.08%
30-Nov-17,23.25,23.25,23.25,23.25,-,-2.72%
29-Nov-17,23.9,24.8,24.8,24.8,-,1.70%
28-Nov-17,23.5,24.8,24.8,24.8,-,8.55%
27-Nov-17,21.65,21.65,21.65,21.65,-,-7.87%
24-Nov-17,23.5,23.5,23.5,23.5,-,-4.08%
22-Nov-17,24.5,24.5,24.5,24.5,-,-5.77%
21-Nov-17,26,26,26,26,-,1.96%
20-Nov-17,25.5,25.5,25.5,25.5,-,2.00%
17-Nov-17,25,25,25,25,-,2.46%
16-Nov-17,24.4,24.4,24.4,24.4,-,2.09%
15-Nov-17,23.9,23.9,23.9,23.9,-,2.14%
14-Nov-17,23.4,23.4,23.4,23.4,-,1.08%
13-Nov-17,23.15,23.15,23.15,23.15,-,1.09%
10-Nov-17,22.9,22.9,22.9,22.9,-,0.66%
09-Nov-17,22.75,22.75,22.75,22.75,-,11.25%
08-Nov-17,20.45,20.45,20.45,20.45,-,0.25%
07-Nov-17,20.4,20.4,20.4,20.4,-,0.74%
06-Nov-17,20.25,20.25,20.25,20.25,-,-0.25%
03-Nov-17,20.3,20.3,20.3,20.3,-,0.00%
02-Nov-17,20.3,20.3,20.3,20.3,-,0.50%
01-Nov-17,20.2,20.2,20.2,20.2,-,0.75%
31-Oct-17,20.05,20.05,20.05,20.05,-,0.25%
30-Oct-17,20,20,20,20,-,0.25%
27-Oct-17,19.95,19.95,19.95,19.95,-,-1.24%
26-Oct-17,20.2,20.2,20.2,20.2,-,0.00%
25-Oct-17,20.2,20.2,20.2,20.2,-,0.00%
24-Oct-17,20.2,20.2,20.2,20.2,-,0.25%
23-Oct-17,20.15,20.15,20.15,20.15,-,0.00%
20-Oct-17,20.15,20.15,20.15,20.15,-,-0.74%
19-Oct-17,20.3,20.3,20.3,20.3,-,-0.73%
18-Oct-17,20.45,20.45,20.45,20.45,-,0.00%
17-Oct-17,20.45,20.45,20.45,20.45,-,0.74%
16-Oct-17,20.3,20.3,20.3,20.3,-,-0.73%
13-Oct-17,20.45,20.45,20.45,20.45,-,-0.24%
12-Oct-17,20.5,20.5,20.5,20.5,-,0.00%
11-Oct-17,20.5,20.5,20.5,20.5,-,0.74%
10-Oct-17,20.35,20.35,20.35,20.35,-,0.99%
09-Oct-17,20.15,20.15,20.15,20.15,-,-1.47%
06-Oct-17,20.45,20.45,20.45,20.45,-,0.00%
05-Oct-17,20.45,20.45,20.45,20.45,-,0.00%
04-Oct-17,20.45,20.45,20.45,20.45,-,0.00%
03-Oct-17,20.45,20.45,20.45,20.45,-,0.99%
02-Oct-17,20.25,20.25,20.25,20.25,-,0.00%
29-Sep-17,20.25,20.25,20.25,20.25,-,-1.46%
28-Sep-17,20.55,20.55,20.55,20.55,-,-0.24%
27-Sep-17,20.6,20.6,20.6,20.6,-,0.00%
26-Sep-17,20.6,20.6,20.6,20.6,-,0.49%
25-Sep-17,20.5,20.5,20.5,20.5,-,3.80%
22-Sep-17,19.75,19.75,19.75,19.75,-,-2.47%
21-Sep-17,20.25,20.25,20.25,20.25,-,-0.25%
20-Sep-17,20.3,20.3,20.3,20.3,-,0.00%
19-Sep-17,20.3,20.3,20.3,20.3,-,-1.46%
18-Sep-17,20.6,20.6,20.6,20.6,-,0.00%
15-Sep-17,20.6,20.6,20.6,20.6,-,0.00%
14-Sep-17,20.6,20.6,20.6,20.6,-,-0.24%
13-Sep-17,20.65,20.65,20.65,20.65,-,0.00%
12-Sep-17,20.65,20.65,20.65,20.65,-,0.00%
11-Sep-17,20.65,20.65,20.65,20.65,-,-0.48%
08-Sep-17,20.75,20.75,20.75,20.75,-,-0.72%
07-Sep-17,20.9,20.9,20.9,20.9,-,1.21%
06-Sep-17,20.65,20.65,20.65,20.65,-,0.73%
05-Sep-17,20.5,20.5,20.5,20.5,-,1.23%
01-Sep-17,20.25,20.25,20.25,20.25,-,0.50%
